Name,State,Party,Incumbent (yes/no),Chamber,Twitter Handle,Official Candidate
TBD,Alabama 1,Democratic,no,House of representatives,NA,
Jerry Carl,Alabama 1,Republican,yes,House of representatives,CarlForAlabama ; RepJerryCarl,
Phyllis Harvey-Hall,Alabama 2,Democratic,no,House of representatives,PhyllisDHHall,
Vimal Patel,Alabama 2,Democratic,no,House of representatives,NA,
Barry Moore,Alabama 2,Republican,yes,House of representatives,RepBarryMoore,
Lin Veasey,Alabama 3,Democratic,no,House of representatives,NA,
Mike Rogers,Alabama 3,Republican,yes,House of representatives,RepMikeRogersAL ; RepMikeRogers,
Michael T. Joiner,Alabama 3,Republican,no,House of representatives,MichaelTJoiner,
Rhonda Gore,Alabama 4,Democratic,no,House of representatives,NA,
Rick Neighbors,Alabama 4,Democratic,no,House of representatives,VoteNeighbors,
Robert Aderholt,Alabama 4,Republican,yes,House of representatives,Robert_Aderholt,
Charlie Thompson III,Alabama 5,Democratic,no,House of representatives,CharlieTruth,
Kathy Warner-Stanton,Alabama 5,Democratic,no,House of representatives,CandidateWarner,
Andy Blalock,Alabama 5,Republican,no,House of representatives,BlalockFor,
John Roberts,Alabama 5,Republican,no,House of representatives,JohnRobertsAL,
Paul Sanford,Alabama 5,Republican,no,House of representatives,PaulSanfordAL05,
Dale Strong,Alabama 5,Republican,no,House of representatives,madcochairman,
Casey Wardynski,Alabama 5,Republican,no,House of representatives,FriendsOfCasey,
Harrison Wright,Alabama 5,Republican,no,House of representatives,NA,
TBD,Alabama 6,Democratic,no,House of representatives,NA,
Gary Palmer,Alabama 6,Republican,yes,House of representatives,USRepGaryPalmer ; Palmer4Alabama,
Terri Sewell,Alabama 7,Democratic,yes,House of representatives,RepTerriSewell ; Sewell4Congress,
Beatrice Nichols,Alabama 7,Republican,no,House of representatives,NicholsCongress,
Christopher Constant,Alaska 1,Democratic,no,House of representatives,Constant4Alaska,
Mike Milligan,Alaska 1,Democratic,no,House of representatives,NA,
Emil Notti,Alaska 1,Democratic,no,House of representatives,NA,
Mary Sattler Peltola,Alaska 1,Democratic,no,House of representatives,MaryPeltola,
Ernest Thomas,Alaska 1,Democratic,no,House of representatives,NA,
Adam Wool,Alaska 1,Democratic,no,House of representatives,NA,
Jay Armstrong,Alaska 1,Republican,no,House of representatives,JayArmstrongUSA,
Nick Begich III,Alaska 1,Republican,no,House of representatives,NBegich,
John Callahan,Alaska 1,Republican,no,House of representatives,CallahanAlaska,
John Coghill,Alaska 1,Republican,no,House of representatives,SenatorCoghill,
Otto Florschutz,Alaska 1,Republican,no,House of representatives,NA,
Tom Gibbons,Alaska 1,Republican,no,House of representatives,NA,
Robert Lyons,Alaska 1,Republican,no,House of representatives,NA,
Mikel Melander,Alaska 1,Republican,no,House of representatives,NA,
Sarah Palin,Alaska 1,Republican,no,House of representatives,SarahPalinUSA,
Josh Revak,Alaska 1,Republican,no,House of representatives,SenJoshRevak,
Jesse Sumner,Alaska 1,Republican,no,House of representatives,JesseMSumner,
Maxwell Sumner,Alaska 1,Republican,no,House of representatives,NA,
Tara Sweeney,Alaska 1,Republican,no,House of representatives,AS_IA45,
Stephen Wright,Alaska 1,Republican,no,House of representatives,NA,
Clayton Trotter,Alaska 1,Republican,no,House of representatives,claytontrotter,
Bradley Welter,Alaska 1,Republican,no,House of representatives,NA,
Joe Woodward,Alaska 1,Republican,no,House of representatives,NA,
Jevin Hodge,Arizona 1,Democratic,no,House of representatives,JevinHodge,
Adam Metzendorf,Arizona 1,Democratic,no,House of representatives,metz4congress,
Josh Barnett,Arizona 1,Republican,no,House of representatives,BarnettforAZ,
Elijah Norton,Arizona 1,Republican,no,House of representatives,NortonforAZ,
David Schweikert,Arizona 1,Republican,yes,House of representatives,RepDavid,
Tom O'Halleran,Arizona 2,Democratic,yes,House of representatives,TomOHalleran ; RepOHalleran,
Steve Beaver,Arizona 2,Republican,no,House of representatives,NA,
Walter Blackman,Arizona 2,Republican,no,House of representatives,BlackmanForAZ,
Eli Crane,Arizona 2,Republican,no,House of representatives,EliCraneAZ,
Katherine Gallant,Arizona 2,Republican,no,House of representatives,NA,
Myron Lizer,Arizona 2,Republican,no,House of representatives,NN_MyronLizer,
John Moore,Arizona 2,Republican,no,House of representatives,Moore4AZ,
Ron Watkins,Arizona 2,Republican,no,House of representatives,NA,
Andy Yates,Arizona 2,Republican,no,House of representatives,andyjyates,
Ruben Gallego,Arizona 3,Democratic,yes,House of representatives,RepRubenGallego ; RubenGallego,
Nina Becker,Arizona 3,Republican,no,House of representatives,NA,
Jeff Zink,Arizona 3,Republican,no,House of representatives,realJeffZink,
Greg Stanton,Arizona 4,Democratic,yes,House of representatives,gregstantonaz ; RepGregStanton,
Rene Lopez,Arizona 4,Republican,no,House of representatives,renelopezaz,
Jerone Davison,Arizona 4,Republican,no,House of representatives,Jerone4Congress,
Tanya Wheeless,Arizona 4,Republican,no,House of representatives,tanyaforarizona,
Dave Giles,Arizona 4,Republican,no,House of representatives,VoteGiles,
Kelly Cooper,Arizona 4,Republican,no,House of representatives,KellyCooperAZ,
Ben Larivee,Arizona 5,Democratic,no,House of representatives,LariveeForAZ,
Lara Hodge,Arizona 5,Republican,no,House of representatives,NA,
Andy Biggs,Arizona 5,Republican,yes,House of representatives,andybiggs4az ; RepAndyBiggsAZ,
Kirsten Engel,Arizona 6,Democratic,no,House of representatives,EngelForArizona,
Daniel Hernández Jr.,Arizona 6,Democratic,no,House of representatives,danielforaz,
Marcos Urrea,Arizona 6,Democratic,no,House of representatives,Urrea4Congress,
Juan Ciscomani,Arizona 6,Republican,no,House of representatives,JuanCiscomani,
Lucretia Free,Arizona 6,Republican,no,House of representatives,NA,
Douglas Lowell,Arizona 6,Republican,no,House of representatives,NA,
Brandon Martin,Arizona 6,Republican,no,House of representatives,PathForFreedom,
Marissa Mitchell,Arizona 6,Republican,no,House of representatives,NA,
Raúl Grijalva,Arizona 7,Democratic,yes,House of representatives,RepRaulGrijalva ; standwithraul,
Luis Pozzolo,Arizona 7,Republican,no,House of representatives,Luis4Congress,
James Holmes,Arizona 8,Democratic,no,House of representatives,NA,
Debbie Lesko,Arizona 8,Republican,yes,House of representatives,DebbieLesko ; RepDLesko,
Matthew Daniel,Arizona 9,Democratic,no,House of representatives,NA,
Paul Gosar,Arizona 9,Republican,yes,House of representatives,RepGosar ; DrPaulGosar,
Brandon DeHart,Arizona 9,Republican,no,House of representatives,NA,
Randy Kutz,Arizona 9,Republican,no,House of representatives,RandyKutz,
Adam Morgan,Arizona 9,Republican,no,House of representatives,Morgan4Az,
Monte Hodges,Arkansas 1,Democratic,no,House of representatives,MonteforAR,
Rick Crawford,Arkansas 1,Republican,yes,House of representatives,Crawford4Cong ; RepRickCrawford,
Jody Shackelford,Arkansas 1,Republican,no,House of representatives,JodyShackelford,
Brandt Smith,Arkansas 1,Republican,no,House of representatives,NA,
Quintessa Hathaway,Arkansas 2,Democratic,no,House of representatives,DrQHathaway,
French Hill,Arkansas 2,Republican,yes,House of representatives,RepFrenchHill ; ElectFrench,
Conrad Reynolds,Arkansas 2,Republican,no,House of representatives,ColonelReynolds,
Lauren Mallett-Hays,Arkansas 3,Democratic,no,House of representatives,Lauren4Arkansas,
Steve Womack,Arkansas 3,Republican,yes,House of representatives,womack4congress ; rep_stevewomack,
Neil Robinson Kumar,Arkansas 3,Republican,no,House of representatives,NA,
John White,Arkansas 4,Democratic,no,House of representatives,NA,
Bruce Westerman,Arkansas 4,Republican,yes,House of representatives,WestermanAR ; RepWesterman,yes
Max Steiner,California 1,Democratic,no,House of representatives,MaxSteinerCA,
Tim Geist,California 1,Republican,no,House of representatives,TimothyGeist,
Doug LaMalfa,California 1,Republican,yes,House of representatives,DougLaMalfa ; RepLaMalfa,
Beth Hampson,California 2,Democratic,no,House of representatives,BethHampsonCA,
Jared Huffman,California 2,Democratic,yes,House of representatives,RepHuffman ; JaredHuffman,
Douglas Brower,California 2,Republican,no,House of representatives,NA,
Chris Coulombe,California 2,Republican,no,House of representatives,ChrisToCongress,
Darian Elizondo,California 2,Republican,no,House of representatives,DARIAN5,
Archimedes Ramirez,California 2,Republican,no,House of representatives,ArchimedesRami1,
Kermit Jones,California 3,Democratic,no,House of representatives,DrKermitJones,
David Peterson,California 3,Democratic,no,House of representatives,PetersonForCA,
Scott Jones,California 3,Republican,no,House of representatives,SheriffSJones,
Kevin Kiley,California 3,Republican,no,House of representatives,KevinKileyCA,
Andrew Engdahl,California 4,Democratic,no,House of representatives,AndrewEngdahl ; Engdahl4CA,
Mike Thompson,California 4,Democratic,yes,House of representatives,Mike_CA05 ; RepThompson,
Matt Brock,California 4,Republican,no,House of representatives,NA,
Scott Giblin,California 4,Republican,no,House of representatives,NA,
Jimih Jones,California 4,Republican,no,House of representatives,NA,
Michael J. Barkley,California 5,Democratic,no,House of representatives,mjbarkl,
Nathan Magsig,California 5,Republican,no,House of representatives,NathanMagsigCA,
David Main,California 5,Republican,no,House of representatives,NA,
Tom McClintock ,California 5,Republican,yes,House of representatives,RepMcClintock ; tommcclintock,
Kelsten Charles Obert,California 5,Republican,no,House of representatives,KelstenO,
Ami Bera,California 6,Democratic,yes,House of representatives,RepBera ; BeraForCongress,
Mark Gorman,California 6,Democratic,no,House of representatives,MarkGorman4CA06,
Chris Bish,California 6,Republican,no,House of representatives,BishForCongress,
Karla Black,California 6,Republican,no,House of representatives,NA,
Bret Daniels,California 6,Republican,no,House of representatives,BretDaniels21,
Tamika Hamilton,California 6,Republican,no,House of representatives,TamikaGHamilton,
