Name,State,Party,Chamber,Twitter Handle
Tommy Tuberville,Alabama,Republican,Senate,TTuberville ; SenTuberville
Dan Sullivan,Alaska,Republican,Senate,DanSullivan_AK ; SenDanSullivan
Kyrsten Sinema,Arizona,Democratic,Senate,SenatorSinema ; kyrstensinema
Tom Cotton,Arkansas,Republican,Senate,SenTomCotton ; TomCottonAR
Dianne Feinstein,California,Democratic,Senate,SenFeinstein
John Hickenlooper,Colorado,Democratic,Senate,Hickenlooper ; SenatorHick
Christopher Murphy,Connecticut,Democratic,Senate,ChrisMurphyCT
Thomas Carper,Delaware,Democratic,Senate,SenatorCarper ; TomCarperforDE
Christopher Coons,Delaware,Democratic,Senate,ChrisCoons ; ChrisCoonsforDE
Rick Scott,Florida,Republican,Senate,SenRickScott ; ScottforFlorida
Jon Ossoff,Georgia,Democratic,Senate,ossoff ; SenOssoff
Mazie Hirono,Hawaii,Democratic,Senate,maziehirono ; mazieforhawaii
James Risch,Idaho,Republican,Senate,SenatorRisch ; Risch4Idaho
Richard Durbin,Illinois,Democratic,Senate,SenatorDurbin ; DickDurbin
Mike Braun,Indiana,Republican,Senate,braun4indiana ; SenatorBraun
Joni Ernst,Iowa ,Republican,Senate,SenJoniErnst ; joniernst
Roger Marshall,Kansas,Republican,Senate,RogerMarshallMD ; RepMarshall
Mitch McConnell,Kentucky,Republican,Senate,LeaderMcConnell ; McConnellPress
Bill Cassidy,Louisiana,Republican,Senate,BillCassidy ; SenBillCassidy
Susan Collins,Maine,Republican,Senate,SenatorCollins ; SenSusanCollins
Angus King,Maine,Independent,Senate,SenAngusKing ; AngusforMaine
Benjamin Cardin,Maryland,Democratic,Senate,SenatorCardin ; BenCardinforMD
Edward Markey,Massachusetts,Democratic,Senate,SenMarkey ; EdMarkey
Elizabeth Warren,Massachusetts,Democratic,Senate,SenWarren ; ewarren
Gary Peters,Michigan,Democratic,Senate,GaryPeters ; SenGaryPeters
Debbie Stabenow,Michigan,Democratic,Senate,stabenow ; SenStabenow
Amy Klobuchar,Minnesota,Democratic,Senate,amyklobuchar ; SenAmyKlobuchar
Tina Smith,Minnesota,Democratic,Senate,TinaSmithMN ; SenTinaSmith
Cindy Hide-Smith,Mississippi,Republican,Senate,SenHydeSmith ; cindyhydesmith
Roger Wicker,Mississippi,Republican,Senate,RogerWicker ; SenatorWicker
Josh Hawley,Missouri,Republican,Senate,HawleyMO ; SenHawleyPress
Steve Daines,Montana,Republican,Senate,SteveDaines ; DainesforMT
Jon Tester,Montana,Democratic,Senate,SenatorTester ; jontester
Deb Fischer,Nebraska,Republican,Senate,SenatorFischer ; DebforNebraska
Ben Sasse,Nebraska,Republican,Senate,SenSasse ; BenSasse
Jacky Rosen,Nevada,Democratic,Senate,RosenforNevada ; SenJackyRosen
Jeanne Shaheen,New Hampshire,Democratic,Senate,JeanneShaheen ; SenatorShaheen
Cory Booker,New Jersey,Democratic,Senate,CoryBooker ; SenBooker
Robert Menendez,New Jersey,Democratic,Senate,BobMenendezNJ ; SenatorMenendez
Martin Heinrich,New Mexico,Democratic,Senate,MartinHeinrich ; TeamHeinrich
Ben Ray Luján,New Mexico,Democratic,Senate,SenatorLujan ; benraylujan
Kirsten Gillibrand,New York,Democratic,Senate,SenGillibrand ; gillibrandny
Thom Tillis,North Carolina,Republican,Senate,ThomTillis ; SenThomTillis
Kevin Cramer,North Dakota,Republican,Senate,SenKevinCramer ; kevincramer
Sherrod Brown,Ohio,Democratic,Senate,SenSherrodBrown ; SherrodBrown
Jim Inhofe,Oklahoma,Republican,Senate,JimInhofe ; inhofeforsenate
Jeff Merkley,Oregon,Democratic,Senate,JeffMerkley ; SenJeffMerkley
Robert Casey,Pennsylvania,Democratic,Senate,SenBobCasey ; Bob_Casey
Jack Reed,Rhode Island,Democratic,Senate,SenJackReed 
Sheldon Whitehouse,Rhode Island,Democratic,Senate,SenWhitehouse ; SheldonforRI
Lindsey Graham,South Carolina,Republican,Senate,LindseyGrahamSC ; GrahamBlog
Mike Rounds,South Dakota,Republican,Senate,RoundsforSenate ; SenatorRounds
Marsha Blackburn,Tennessee,Republican,Senate,MarshaBlackburn ; VoteMarsha
Bill Hagerty,Tennessee,Republican,Senate,BillHagertyTN ; SenatorHagerty
John Cornyn,Texas,Republican,Senate,JohnCornyn ; TeamCornyn
Ted Cruz,Texas,Republican,Senate,SenTedCruz ; tedcruz
Mitt Romney,Utah,Republican,Senate,SenatorRomney ; MittRomney
Bernie Sanders,Vermont,Independent,Senate,SenSanders ; BernieSanders
Tim Kaine,Virginia,Democratic,Senate,timkaine
Mark Warner,Virginia,Democratic,Senate,MarkWarner ; MarkWarnerVA
Maria Cantwell,Washington,Democratic,Senate,MariaCantwell ; SenatorCantwell
Shelley Moore Capito,West Virginia,Republican,Senate,CapitoforWV ; SenCapito
Joe Manchin,West Virginia,Democratic,Senate,Sen_JoeManchin ; JoeManchinWV
Tammy Baldwin,Wisconsin,Democratic,Senate,tammybaldwin ; SenatorBaldwin
John Barrasso,Wyoming,Republican,Senate,SenJohnBarrasso ; barrassoforwyo
Cynthia Lummis,Wyoming,Republican,Senate,CynthiaMLummis ; SenLummis
