Name,State,Party,Incumbent (yes/no),Chamber,Twitter Handle,Official Candidate
Will Boyd,Alabama,Democratic,no,Senate,willboydforAL,
Brandaun Dean,Alabama,Democratic,no,Senate,BrandaunDean,
Lanny Jackson,Alabama,Democratic,no,Senate,NA,
Lillie Boddie,Alabama,Republican,no,Senate,NA,
Katie Britt,Alabama,Republican,no,Senate,KatieBrittforAL ; KatieBoydBritt,
Mo Brooks,Alabama,Republican,no,Senate,MoBrooks ; RepMoBrooks,
Karla DuPriest,Alabama,Republican,no,Senate,DuPriest4Senate,
Michael Durant,Alabama,Republican,no,Senate,MikeDurantAL,
Jake Schafer,Alabama,Republican,no,Senate,NA,
Edgar Blatchford,Alaska,Democratic,no,Senate,edgarblatchford,
Mark Begich,Alaska,Democratic,no,Senate,MarkBegich ; SenatorBegich,
Sam Little,Alaska,Republican,no,Senate,NA,
Lisa Murkowski,Alaska,Republican,yes,Senate,lisamurkowski ; LisaForSenate,
John Schiess,Alaska,Republican,no,Senate,NA,
Kendall L. Shorkey,Alaska,Republican,no,Senate,NA,
Karl Speights,Alaska,Republican,no,Senate,NA,
Kelly Tshibaka,Alaska,Republican,no,Senate,KellyForAlaska,
Mark Kelly,Arizona,Democratic,yes,Senate,SenMarkKelly; CaptMarkKelly,
Mark Brnovich,Arizona,Republican,no,Senate,GeneralBrnovich ; GeneralBrnovich,
Jim Lamon,Arizona,Republican,no,Senate,jim_lamon,
Blake Masters,Arizona,Republican,no,Senate,bgmasters,
Michael McGuire,Arizona,Republican,no,Senate,GeneralMcGuire,
Justin Olson,Arizona,Republican,no,Senate,_JustinOlson,
Jack Foster,Arkansas,Democratic,no,Senate,NA,
Natalie James,Arkansas,Democratic,no,Senate,JamesForAR,
Dan Whitfield,Arkansas,Democratic,no,Senate,DanWhitCongress,
Jake Bequette,Arkansas,Republican,no,Senate,JakeBequette91,
John Boozman,Arkansas,Republican,yes,Senate,JohnBoozman ; Boozman4AR,
Heath Loftis,Arkansas,Republican,no,Senate,pstrheathloftis,
Jan Morgan,Arkansas,Republican,no,Senate,JanMorganMedia,
Akinyemi Agbede,California,Democratic,no,Senate,NextCalSenator,
Dan O'Dowd,California,Democratic,no,Senate,RealDanODowd,
Alex Padilla,California,Democratic,yes,Senate,AlexPadilla4CA ; SenAlexPadilla,
Douglas Howard Pierce,California,Democratic,no,Senate,pierceussenate,
Obaidul Huq Pirjada,California,Democratic,no,Senate,NA,
Timothy J. Ursich,California,Democratic,no,Senate,Ursich4SenateCA,
James P. Bradley,California,Republican,no,Senate,JamesBradleyCA,
Jon Elist,California,Republican,no,Senate,jonelist,
Myron L. Hall,California,Republican,no,Senate,podiatristlosan,
Sarah Sun Liew,California,Republican,no,Senate,Sarahliew7 ; DrSarah4Senate,
Robert George Lucero Jr.,California,Republican,no,Senate,Lucero4CA,
Mark P. Meuser,California,Republican,no,Senate,MarkMeuser,
Enrique Petris,California,Republican,no,Senate,NA,
Chuck Smith,California,Republican,no,Senate,NA,
Carlos Guillermo Tapia,California,Republican,no,Senate,NA,
Cordie Williams,California,Republican,no,Senate,cordie4senate ; drcordiew,
Michael Bennet,Colorado,Democratic,yes,Senate,MichaelBennet ; SenatorBennet ,
Ron Hanks,Colorado,Republican,no,Senate,HanksUSSenate,
Joe O'Dea,Colorado,Republican,no,Senate,ODeaForColorado,
Richard Blumenthal,Connecticut,Democratic,yes,Senate,SenBlumenthal ; DickBlumenthal,
Nicholas Connors,Connecticut,Republican,no,Senate,NicholasConnors,
John Flynn,Connecticut,Republican,no,Senate,jflynn4ussenate,
Robert F. Hyde,Connecticut,Republican,no,Senate,RobertFHyde1,
Themis Klarides,Connecticut,Republican,no,Senate,MAGAThemis ; RepTKlarides,
Leora Levy,Connecticut,Republican,no,Senate,LeoraLevyCT,
Peter Lumaj,Connecticut,Republican,no,Senate,PeterLumaj,
Joe Visconti,Connecticut,Republican,no,Senate,JoeVisconti,
Edward Abud,Florida,Democratic,no,Senate,NA,
Val Demings,Florida,Democratic,no,Senate,RepValDemings ; valdemings,
Allen Ellison,Florida,Democratic,no,Senate,AllenLEllison ; TeamEllison2022,
Al Fox,Florida,Democratic,no,Senate,AlbertAFoxJr,
Alan Grayson,Florida,Democratic,no,Senate,AlanGrayson,
Dana Harshman,Florida,Democratic,no,Senate,NA,
Josue Larose,Florida,Democratic,no,Senate,DrJosueLarose,
Allek Pastrana,Florida,Democratic,no,Senate,allekpastrana,
William Sanchez,Florida,Democratic,no,Senate,sanchezforsen,
Coleman Watson,Florida,Democratic,no,Senate,NA,
Joshua Weil,Florida,Democratic,no,Senate,Weil4USSenate,
Kevin DePuy,Florida,Republican,no,Senate,depuy_kevin,
Howard Knepper,Florida,Republican,no,Senate,howard_knepper,
Jake Loubriel,Florida,Republican,no,Senate,NA,
Ervan Katari Miller,Florida,Republican,no,Senate,ervan_katari,
Marco Rubio,Florida,Republican,yes,Senate,marcorubio ; SenRubioPress,
Earl Yearicks IV,Florida,Republican,no,Senate,NA,
Tamara Johnson-Shealey,Georgia,Democratic,no,Senate,TamaraShealey,
Raphael Warnock,Georgia,Democratic,yes,Senate,ReverendWarnock ; SenatorWarnock,
Gary Black,Georgia,Republican,no,Senate,GaryBlackForGA,
Josh Clark,Georgia,Republican,no,Senate,JoshClarkGA,
